"codgeo";"libgeo";"no_indic";"ODD1";"Cible1";"ODD2";"Cible2";"type_var";"variable";"sous_champ";"A2025";"A2024";"A2023";"A2022";"A2021";"A2020";"A2019";"A2018";"A2017";"A2016";"A2015";"A2014";"A2013";"A2012";"A2011";"A2010";"A2009";"A2008";"A2007";"A2006";"A2005";"A2004";"A2003";"A2002";"A2001";"A2000";"A1999";"A1998";"A1997";"A1996";"A1995";"A1994";"A1993";"A1992";"A1991";"A1990";"A1989";"A1988";"A1987";"A1986";"A1985";"A1984";"A1983";"A1982"
"01";"Guadeloupe";"i001";"1";"1.2";"";"";"i";"taux_pvt";"total";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"01";"Guadeloupe";"i001";"1";"1.2";"";"";"i";"taux_pvt";"moins30";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"01";"Guadeloupe";"i001";"1";"1.2";"";"";"i";"taux_pvt";"30_39";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"01";"Guadeloupe";"i001";"1";"1.2";"";"";"i";"taux_pvt";"40_49";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"01";"Guadeloupe";"i001";"1";"1.2";"";"";"i";"taux_pvt";"50_59";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"01";"Guadeloupe";"i001";"1";"1.2";"";"";"i";"taux_pvt";"60_74";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"01";"Guadeloupe";"i001";"1";"1.2";"";"";"i";"taux_pvt";"75plus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"02";"Martinique";"i001";"1";"1.2";"";"";"i";"taux_pvt";"total";;;;;26.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"02";"Martinique";"i001";"1";"1.2";"";"";"i";"taux_pvt";"moins30";;;;;46.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"02";"Martinique";"i001";"1";"1.2";"";"";"i";"taux_pvt";"30_39";;;;;34.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"02";"Martinique";"i001";"1";"1.2";"";"";"i";"taux_pvt";"40_49";;;;;27.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"02";"Martinique";"i001";"1";"1.2";"";"";"i";"taux_pvt";"50_59";;;;;25.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"02";"Martinique";"i001";"1";"1.2";"";"";"i";"taux_pvt";"60_74";;;;;22.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"02";"Martinique";"i001";"1";"1.2";"";"";"i";"taux_pvt";"75plus";;;;;29.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"03";"Guyane";"i001";"1";"1.2";"";"";"i";"taux_pvt";"total";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"03";"Guyane";"i001";"1";"1.2";"";"";"i";"taux_pvt";"moins30";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"03";"Guyane";"i001";"1";"1.2";"";"";"i";"taux_pvt";"30_39";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"03";"Guyane";"i001";"1";"1.2";"";"";"i";"taux_pvt";"40_49";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"03";"Guyane";"i001";"1";"1.2";"";"";"i";"taux_pvt";"50_59";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"03";"Guyane";"i001";"1";"1.2";"";"";"i";"taux_pvt";"60_74";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"03";"Guyane";"i001";"1";"1.2";"";"";"i";"taux_pvt";"75plus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"04";"La Réunion";"i001";"1";"1.2";"";"";"i";"taux_pvt";"total";;;;;36.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"04";"La Réunion";"i001";"1";"1.2";"";"";"i";"taux_pvt";"moins30";;;;;51.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"04";"La Réunion";"i001";"1";"1.2";"";"";"i";"taux_pvt";"30_39";;;;;40.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"04";"La Réunion";"i001";"1";"1.2";"";"";"i";"taux_pvt";"40_49";;;;;36.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"04";"La Réunion";"i001";"1";"1.2";"";"";"i";"taux_pvt";"50_59";;;;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"04";"La Réunion";"i001";"1";"1.2";"";"";"i";"taux_pvt";"60_74";;;;;29.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"04";"La Réunion";"i001";"1";"1.2";"";"";"i";"taux_pvt";"75plus";;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"06";"Mayotte";"i001";"1";"1.2";"";"";"i";"taux_pvt";"total";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"06";"Mayotte";"i001";"1";"1.2";"";"";"i";"taux_pvt";"moins30";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"06";"Mayotte";"i001";"1";"1.2";"";"";"i";"taux_pvt";"30_39";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"06";"Mayotte";"i001";"1";"1.2";"";"";"i";"taux_pvt";"40_49";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"06";"Mayotte";"i001";"1";"1.2";"";"";"i";"taux_pvt";"50_59";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"06";"Mayotte";"i001";"1";"1.2";"";"";"i";"taux_pvt";"60_74";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"06";"Mayotte";"i001";"1";"1.2";"";"";"i";"taux_pvt";"75plus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"11";"Île-de-France";"i001";"1";"1.2";"";"";"i";"taux_pvt";"total";;;;;16.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"11";"Île-de-France";"i001";"1";"1.2";"";"";"i";"taux_pvt";"moins30";;;;;20.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"11";"Île-de-France";"i001";"1";"1.2";"";"";"i";"taux_pvt";"30_39";;;;;16.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"11";"Île-de-France";"i001";"1";"1.2";"";"";"i";"taux_pvt";"40_49";;;;;18.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"11";"Île-de-France";"i001";"1";"1.2";"";"";"i";"taux_pvt";"50_59";;;;;16.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"11";"Île-de-France";"i001";"1";"1.2";"";"";"i";"taux_pvt";"60_74";;;;;13.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"11";"Île-de-France";"i001";"1";"1.2";"";"";"i";"taux_pvt";"75plus";;;;;10.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
